Codigo,Cantidad,Descripcion,Existencia
KK150-43-400,0,BOMBA DE FRENOS - FORD FESTIVA / SAIPA TURPIAL 1.3,DISP
503177-I,0,BASE AMORTIGUADOR DELANTERA - PEUGEOT 206,DISP
96325175-PT,0,EMPACADURA T.VALVULA - SPARK,DISP
96659184-075-M,0,CONCHAS DE BIELA 0.75 - CHEVROLET SPARK,DISP
13201-B1021-TP,0,BRAZO DE BIELA - TOYOTA TERIOS BEGO 1.5,DISP
15410-52D00-TP,0,FILTRO DE GASOLINA - CHEVROLET GRAND VITARA 2.7 XL7 V6,DISP
BP4L-32-290,0,TERMINAL DE DIRECCION IZQUIERDA - MAZDA 3,DISP
96543017-TC,0,PARACHOQUE TRASERO - CHEVROLET AVEO 1.6 (05-07),DISP
57724-1C000,0,ROTULA DE DIRECCION - HYUNDAI GETZ,DISP
12674782-TP,0,SENSOR PRESION ACEITE - CHEVROLET CAPTIVA,DISP
